Question ID,Question,Generated SQL Query,Expected SQL Query,Execution Accuracy
1.1,Can you tell me which faculty did the most research projects? I just need their name (nama) and the number of projects (total_proyek).,"SELECT f.nama, COUNT(p.id_proyek) AS total_proyek FROM Fakultas f LEFT JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas GROUP BY f.nama ORDER BY total_proyek DESC LIMIT 1","SELECT f.nama, COUNT(p.id_proyek) AS total_proyek
  FROM Fakultas f
  JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  GROUP BY f.nama
  ORDER BY total_proyek DESC
  LIMIT 1;",1.0
1.2,Fakultas mana yang paling banyak bikin proyek penelitian? Tampilkan nama (nama) dan jumlah proyeknya (total_proyek).,"SELECT f.nama, COUNT(p.id_proyek) AS total_proyek FROM Fakultas f JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas GROUP BY f.nama ORDER BY total_proyek DESC LIMIT 1","SELECT f.nama, COUNT(p.id_proyek) AS total_proyek
  FROM Fakultas f
  JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  GROUP BY f.nama
  ORDER BY total_proyek DESC
  LIMIT 1;",1.0
2.1,I’m curious which lecturer guides the most students. Please show their name (nama) and how many students they supervise (total_mahasiswa_dibimbing).,"SELECT d.nama, COUNT(m.id_mahasiswa) AS total_mahasiswa_dibimbing
FROM Dosen AS d
LEFT JOIN Mahasiswa AS m ON d.id_dosen = m.id_pembimbing
WHERE d.id_dosen = (SELECT id_pembimbing FROM Mahasiswa GROUP BY id_pembimbing ORDER BY COUNT(*) DESC LIMIT 1)
GROUP BY d.nama;","SELECT d.nama, COUNT(m.id_mahasiswa) AS total_mahasiswa_dibimbing
  FROM Dosen d
  JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing
  GROUP BY d.nama
  ORDER BY total_mahasiswa_dibimbing DESC
  LIMIT 1;",0.0
2.2,Dosen mana yang ngebimbing mahasiswa paling banyak? Aku butuh namanya (nama) dan total mahasiswa bimbingannya (total_mahasiswa_dibimbing).,"SELECT d.nama, COUNT(m.id_pembimbing) AS total_mahasiswa_dibimbing FROM Dosen d JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing GROUP BY d.nama ORDER BY total_mahasiswa_dibimbing DESC LIMIT 1","SELECT d.nama, COUNT(m.id_mahasiswa) AS total_mahasiswa_dibimbing
  FROM Dosen d
  JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing
  GROUP BY d.nama
  ORDER BY total_mahasiswa_dibimbing DESC
  LIMIT 1;",1.0
3.1,Which student joined the most sessions? I want to see their name (nama) and how many sessions they attended (total_kehadiran).,"WITH StudentSessionCounts AS (
    SELECT id_mahasiswa, COUNT(*) AS total_kehadiran
    FROM CatatanKehadiran
    GROUP BY id_mahasiswa
), MaxAttendance AS (
    SELECT MAX(total_kehadiran) AS max_kehadiran
    FROM StudentSessionCounts
)
SELECT m.nama, ssc.total_kehadiran
FROM Mahasiswa m
JOIN StudentSessionCounts ssc ON m.id_mahasiswa = ssc.id_mahasiswa
WHERE ssc.total_kehadiran = (SELECT max_kehadiran FROM MaxAttendance);","SELECT m.nama, COUNT(k.id_kehadiran) AS total_kehadiran
  FROM Mahasiswa m
  JOIN CatatanKehadiran k ON m.id_mahasiswa = k.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_kehadiran DESC
  LIMIT 1;",0.0
3.2,Mahasiswa mana yang paling rajin ikut sesi kelas? Kasih liat nama (nama) dan jumlah kehadirannya (total_kehadiran).,"SELECT m.nama, COUNT(ck.id_kehadiran) AS total_kehadiran FROM Mahasiswa AS m LEFT JOIN CatatanKehadiran AS ck ON m.id_mahasiswa = ck.id_mahasiswa GROUP BY m.nama ORDER BY total_kehadiran DESC LIMIT 1","SELECT m.nama, COUNT(k.id_kehadiran) AS total_kehadiran
  FROM Mahasiswa m
  JOIN CatatanKehadiran k ON m.id_mahasiswa = k.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_kehadiran DESC
  LIMIT 1;",1.0
4.1,What are the top 5 most popular courses? Show me the course title (judul) and how many students joined (total_mahasiswa).,"SELECT mk.judul, COUNT(k.id_mahasiswa) AS total_mahasiswa FROM Kelas AS k JOIN MataKuliah AS mk ON k.id_mk = mk.id_mk GROUP BY mk.judul ORDER BY total_mahasiswa DESC LIMIT 5","SELECT mk.judul, COUNT(e.id_mahasiswa) AS total_mahasiswa
  FROM MataKuliah mk
  JOIN Sesi s ON mk.id_mk = s.id_mk
  JOIN EnrolmenKelas e ON s.id_sesi = e.id_sesi
  GROUP BY mk.judul
  ORDER BY total_mahasiswa DESC
  LIMIT 5;",1.0
4.2,Top 5 matkul yang paling banyak diambil siapa aja ya? Tampilkan judul matkulnya (judul) dan jumlah mahasiswa (total_mahasiswa).,"SELECT mk.judul, COUNT(k.id_mahasiswa) AS total_mahasiswa FROM MataKuliah AS mk JOIN Kelas AS k ON mk.id_mk = k.id_mk GROUP BY mk.judul ORDER BY total_mahasiswa DESC LIMIT 5","SELECT mk.judul, COUNT(e.id_mahasiswa) AS total_mahasiswa
  FROM MataKuliah mk
  JOIN Sesi s ON mk.id_mk = s.id_mk
  JOIN EnrolmenKelas e ON s.id_sesi = e.id_sesi
  GROUP BY mk.judul
  ORDER BY total_mahasiswa DESC
  LIMIT 5;",1.0
5.1,Which faculty uses the most facilities? I need the faculty name (nama) and the number of facilities used (total_fasilitas).,"SELECT f.nama, COUNT(ff.id_fasilitas) AS total_fasilitas FROM Fakultas f JOIN FasilitasFakultas ff ON f.id_fakultas = ff.id_fakultas GROUP BY f.nama ORDER BY total_fasilitas DESC LIMIT 1","SELECT f.nama, COUNT(ff.id_fasilitas) AS total_fasilitas
  FROM Fakultas f
  JOIN FasilitasFakultas ff ON f.id_fakultas = ff.id_fakultas
  GROUP BY f.nama
  ORDER BY total_fasilitas DESC 
  LIMIT 1;",1.0
5.2,Fakultas mana yang paling banyak pake fasilitas? Aku mau liat nama (nama) dan jumlah fasilitasnya (total_fasilitas).,"SELECT f.nama, COUNT(ff.id_fasilitas) AS total_fasilitas FROM Fakultas f JOIN FasilitasFakultas ff ON f.id_fakultas = ff.id_fakultas GROUP BY f.nama ORDER BY total_fasilitas DESC LIMIT 1","SELECT f.nama, COUNT(ff.id_fasilitas) AS total_fasilitas
  FROM Fakultas f
  JOIN FasilitasFakultas ff ON f.id_fakultas = ff.id_fakultas
  GROUP BY f.nama
  ORDER BY total_fasilitas DESC 
  LIMIT 1;",1.0
